chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.URL,parameters.URL_method,parameters.boolshad.hgSeq.cdsExon,parameters.boolshad.hgSeq.downstream,parameters.boolshad.hgSeq.intron,parameters.boolshad.hgSeq.maskRepeats,parameters.boolshad.hgSeq.promoter,parameters.boolshad.hgSeq.revComp,parameters.boolshad.hgSeq.splitCDSUTR,parameters.boolshad.hgSeq.utrExon3,parameters.boolshad.hgSeq.utrExon5,parameters.boolshad.hgta_printCustomTrackHeaders,parameters.chromInfo,parameters.data_type,parameters.db,parameters.dbkey,parameters.description,parameters.fbDownBases,parameters.fbExonBases,parameters.fbIntronBases,parameters.fbQual,parameters.fbUpBases,parameters.hgSeq.casing,parameters.hgSeq.cdsExon,parameters.hgSeq.downstream,parameters.hgSeq.downstreamSize,parameters.hgSeq.granularity,parameters.hgSeq.intron,parameters.hgSeq.maskRepeats,parameters.hgSeq.padding3,parameters.hgSeq.padding5,parameters.hgSeq.promoter,parameters.hgSeq.promoterSize,parameters.hgSeq.repMasking,parameters.hgSeq.splitCDSUTR,parameters.hgSeq.utrExon3,parameters.hgSeq.utrExon5,parameters.hgsid,parameters.hgta_ctDesc,parameters.hgta_ctName,parameters.hgta_ctUrl,parameters.hgta_ctVis,parameters.hgta_ctWigOutType,parameters.hgta_doGalaxyQuery,parameters.hgta_doGenomicDna,parameters.hgta_doGetBed,parameters.hgta_doGetCustomTrackFile,parameters.hgta_doPrintSelectedFields,parameters.hgta_doTopSubmit,parameters.hgta_outputType,parameters.hgta_palOut,parameters.hgta_printCustomTrackHeaders,parameters.hgta_regionType,parameters.hgta_table,parameters.hgta_track,parameters.hguid,parameters.org,parameters.organism,parameters.position,parameters.table,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-03-06 02:45:37.173041,slurm_normal,1520304350.0,0.0,7680.0,1.0,main_w4_handler1,3453071,18617944,False,,12713994,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/baciAnth_AMES.len""","""bed""","""baciAnth_AMES""","""baciAnth_AMES""","""genome""","""200""","""0""","""0""","""whole""","""200""",,,,,,,,,,,,,,,,"""2826616_7z30v31uEkylVqH4cHkAAWlaKotT""","""table browser query on refSeq""","""kazeBA_refSeq""","""""","""pack""",,"""Send query to Galaxy""",,"""get BED""",,,,"""bed""",,,"""genome""","""refSeq""","""refSeq""","""8887606_TCQ3z4gcojiLkTlUyHN8W11PIWWr""","""Bacillus anthracis Ames""","""Bacillus anthracis Ames""","""chr:10001-35000""","""refSeq""",32.0,,44360852,1520304343.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-03-06 02:45:52.294611,,7.0
,,2017-11-10 20:01:28.626493,slurm_normal,1510344104.0,0.0,,1.0,main_w4_handler0,3232263,17414790,False,,11476648,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/nanEqu1.len""","""bed""","""nanEqu1""","""nanEqu1""","""genome""","""200""",,,"""whole""","""200""",,,,,,,,,,,,,,,,"""2777752_zu8eGQrLf7b3A4YOnSguApV7PaUS""","""table browser query on tRNAs""","""tb_tRNAs""","""""","""pack""",,"""Send query to Galaxy""",,"""get BED""",,,,"""bed""",,,"""genome""","""tRNAs""","""tRNAs""","""8599324_ljcW2TJuk3z4jpuE99iTM2gsKLaa""","""Nanoarchaeum equitans""","""Nanoarchaeum equitans""","""chr:10001-35000""","""tRNAs""",32.0,,40057898,1510344093.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2017-11-10 20:01:46.257052,,11.0
,,2018-01-24 11:13:04.798569,slurm_normal,1516792398.0,0.0,,1.0,main_w3_handler0,3403466,18142447,False,,12222553,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/sulfIsla_Y_N_15_51.len""","""bed""","""sulfIsla_Y_N_15_51""","""sulfIsla_Y_N_15_51""","""genome""","""200""","""0""","""0""","""whole""","""200""",,,,,,,,,,,,,,,,"""2807823_nrTw2zA0FAVV816AEfuMPFddAbaK""","""table browser query on refSeq""","""tb_refSeq""","""""","""pack""",,"""Send query to Galaxy""",,"""get BED""",,,,"""bed""",,,"""genome""","""refSeq""","""refSeq""","""8877375_DbFy5TpO15BwdXOf4eE6cP9Wygaa""","""Sulfolobus islandicus Y N 15 51""","""Sulfolobus islandicus Y N 15 51""","""chr:10001-35000""","""refSeq""",32.0,,43403306,1516792391.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-01-24 11:13:20.276209,,7.0
,,2017-11-18 18:28:58.924154,slurm_normal,1511029757.0,0.0,,1.0,main_w3_handler1,2710222,17503639,False,,11564008,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/pyrAer1.len""","""fasta""","""pyrAer1""","""pyrAer1""","""genome""",,,,,,,,,,,,,,,,,,,,,"""2780637_1qSJia5W6FAxX9KewWQqVALSUMBv""",,,,,,"""Send query to Galaxy""",,,,,,"""fasta""","""submit""",,"""genome""","""refSeq""","""refSeq""","""8859192_5U1o8QthIKuAMU8qG5PLT3mD8kHo""","""Pyrobaculum aerophilum""","""Pyrobaculum aerophilum""","""chr:10001-35000""","""refSeq""",32.0,,42026630,1511029743.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2017-11-18 18:29:19.666639,84665.0,14.0
,,2017-11-20 04:25:06.491513,slurm_normal,1511151921.0,0.0,,1.0,main_w3_handler0,3331495,17512836,False,,11572683,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/haemInfl_KW20.len""","""bed""","""haemInfl_KW20""","""haemInfl_KW20""","""genome""","""200""","""0""","""0""","""whole""","""200""",,,,,,,,,,,,,,,,"""2780920_UUgrqvXo7Kc1BMOM7xasDx6IzNOc""","""table browser query on refSeq""","""tb_refSeq""","""""","""pack""",,"""Send query to Galaxy""",,"""get BED""",,,,"""bed""",,,"""genome""","""refSeq""","""refSeq""","""8859412_uI6fIi0aKoXQhcgSZQSa203yd570""","""Haemophilus influenzae Rd KW20""","""Haemophilus influenzae Rd KW20""","""chr:10001-35000""","""refSeq""",32.0,,42108370,1511151910.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2017-11-20 04:25:23.074178,110725.0,11.0
,,2017-11-21 00:04:59.166455,slurm_normal,1511222732.0,0.0,,1.0,main_w3_handler1,3325480,17528033,False,,11586817,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""","""0""","""0""","""0""","""0""","""0""",,"""0""","""0""","""0""",,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/pseuAeru.len""","""fasta""","""pseuAeru""","""pseuAeru""","""genome""",,,,,,"""exon""","""on""",,"""1000""","""feature""","""on""",,"""0""","""0""",,"""1000""","""lower""",,"""on""","""on""","""2781272_8tlRSy17nAD8f8W0F91EbGQn6VXt""",,,,,,"""Send query to Galaxy""","""get sequence""",,,,,"""sequence""",,,"""genome""","""refSeq""","""refSeq""","""8858730_nkKave2gqAtUguy7DKDaenLqktw6""","""Pseudomonas aeruginosa PAO1""","""Pseudomonas aeruginosa PAO1""","""chr:10001-35000""","""refSeq""",32.0,,42004541,1511222718.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2017-11-21 00:05:37.726250,41053.0,14.0
,,2018-03-06 14:54:57.993299,slurm_normal,1520348128.0,0.0,7680.0,1.0,main_w4_handler1,3453866,18624589,False,,12720901,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/nocaFarc_IFM10152.len""","""bed""","""nocaFarc_IFM10152""","""nocaFarc_IFM10152""","""genome""","""200""","""100""","""0""","""exon""","""200""",,,,,,,,,,,,,,,,"""2826744_SfiqOdM8cU8akyyjKvTdZFAoAORi""","""table browser query on refSeq""","""tb_refSeq""","""""","""pack""",,"""Send query to Galaxy""",,"""get BED""",,,,"""bed""",,,"""genome""","""refSeq""","""refSeq""","""8887688_BePX1AKwdHtx7EWsqsO1QhqKopvz""","""Nocardia farcinica IFM10152""","""Nocardia farcinica IFM10152""","""chr:10001-35000""","""refSeq""",32.0,,44372253,1520348107.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2018-03-06 14:55:30.106967,,21.0
,,2017-11-22 19:49:03.514225,slurm_normal,1511380154.0,0.0,,1.0,main_w4_handler0,3335946,17553295,False,,11613521,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/nanEqu1.len""","""auto""","""nanEqu1""","""nanEqu1""","""genome""",,,,,,,,,,,,,,,,,,,,,"""2782313_cie9CtHUwVaAJl2LTTc99mO9ENtW""",,,,,,"""Send query to Galaxy""",,,,"""get output""",,"""selectedFields""",,,"""genome""","""ct_tbcthighGCsegments3083_2748""","""ct_tbcthighGCsegments3083_2748""","""8857428_BAj2aGne2ALcGahpRapXbGwVt9b2""","""Nanoarchaeum equitans""","""Nanoarchaeum equitans""","""chr:3235-488457""","""ct_tbcthighGCsegments3083_2748""",32.0,,42196651,1511380147.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2017-11-22 19:49:17.183342,,7.0
,,2017-11-22 19:39:42.659698,slurm_normal,1511379599.0,0.0,,1.0,main_w3_handler0,3335946,17553140,False,,11613434,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/nanEqu1.len""","""bed""","""nanEqu1""","""nanEqu1""","""genome""","""200""",,,"""whole""","""200""",,,,,,,,,,,,,,,,"""2782308_HXnAM1tH2EiYnH9mV5Bg7fzmz1qS""","""table browser query on ct_highGCsegments_3083""","""tb_ct_highGCsegments_3083""","""""","""pack""",,"""Send query to Galaxy""",,"""get BED""",,,,"""bed""",,"""on""","""genome""","""ct_highGCsegments_3083""","""ct_highGCsegments_3083""","""8857428_BAj2aGne2ALcGahpRapXbGwVt9b2""","""Nanoarchaeum equitans""","""Nanoarchaeum equitans""","""chr:1-487717""","""ct_highGCsegments_3083""",32.0,,42196651,1511379588.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2017-11-22 19:40:03.006254,,11.0
,,2017-11-22 19:56:01.741290,slurm_normal,1511380574.0,0.0,,1.0,main_w3_handler1,3335946,17553367,False,,11613653,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/nanEqu1.len""","""bed""","""nanEqu1""","""nanEqu1""","""genome""","""200""","""0""","""0""","""whole""","""200""",,,,,,,,,,,,,,,,"""2782317_bdq1q8Uv5AyTuNSxwkCdA5WU61Cl""","""table browser query on refSeq""","""tb_refSeq""","""""","""pack""",,"""Send query to Galaxy""",,"""get BED""",,,,"""bed""",,"""on""","""genome""","""refSeq""","""refSeq""","""8857428_BAj2aGne2ALcGahpRapXbGwVt9b2""","""Nanoarchaeum equitans""","""Nanoarchaeum equitans""","""chr:3235-488457""","""refSeq""",32.0,,42196651,1511380567.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2017-11-22 19:56:18.639930,,7.0
,,2017-11-22 19:58:22.400344,slurm_normal,1511380715.0,0.0,,1.0,main_w3_handler0,3335946,17553395,False,,11613675,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/nanEqu1.len""","""bed""","""nanEqu1""","""nanEqu1""","""genome""","""200""",,,"""whole""","""200""",,,,,,,,,,,,,,,,"""2782317_bdq1q8Uv5AyTuNSxwkCdA5WU61Cl""","""table browser query on gbRNAs""","""tb_gbRNAs""","""""","""pack""",,"""Send query to Galaxy""",,"""get BED""",,,,"""bed""",,"""on""","""genome""","""gbRNAs""","""gbRNAs""","""8857428_BAj2aGne2ALcGahpRapXbGwVt9b2""","""Nanoarchaeum equitans""","""Nanoarchaeum equitans""","""chr:3235-488457""","""gbRNAs""",32.0,,42196651,1511380708.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2017-11-22 19:58:37.215708,,7.0
,,2017-11-23 18:31:37.539478,slurm_normal,1511461907.0,0.0,,1.0,main_w4_handler0,3335946,17564824,False,,11626112,slurm,,132112168.0,corral-repl,,"""http://archaea.ucsc.edu/cgi-bin/hgTables""","""post""",,,,,,,,,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/nanEqu1.len""","""bed""","""nanEqu1""","""nanEqu1""","""genome""","""200""",,,"""whole""","""200""",,,,,,,,,,,,,,,,"""2782661_uTJ2rDrx8LsX62BE6OamsLtnzaJ7""","""table browser query on ct_tbcthighGCsegments3083_2748""","""tb_ct_tbcthighGCsegments3083_2748""","""""","""pack""",,"""Send query to Galaxy""",,"""get BED""",,,,"""bed""",,"""on""","""genome""","""ct_tbcthighGCsegments3083_2748""","""ct_tbcthighGCsegments3083_2748""","""8857428_BAj2aGne2ALcGahpRapXbGwVt9b2""","""Nanoarchaeum equitans""","""Nanoarchaeum equitans""","""chr:3235-488457""","""ct_tbcthighGCsegments3083_2748""",32.0,,42196651,1511461900.0,ok,1023996.0,ucsc_table_direct_archaea1,1.0.0,,2017-11-23 18:31:48.458682,,7.0
