bed_input,bed_input_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bed_vs_interval.__current_case__,parameters.bed_vs_interval.bed_input,parameters.bed_vs_interval.bed_vs_interval_selector,parameters.bed_vs_interval.int_input,parameters.chromInfo,parameters.dbkey,parameters.invert,parameters.vcf_input,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,vcf_input,vcf_input_filetype,runtime
14589.0,bed,2015-03-19 14:03:18.224953,rodeo_normal,1426774091.0,0,1.0,main_w2_handler0,2239819,8988248,False,,3241359.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18884241,32.0,,21478906,1426773961.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:08:14.100655,53715.0,1031093866,vcf,130.0
14589.0,bed,2015-03-19 14:03:23.804169,rodeo_normal,1426774082.0,0,1.0,main_w1_handler0,2239819,8988257,False,,3241341.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18886130,32.0,,21478906,1426773936.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:08:04.542276,53715.0,981840541,vcf,146.0
14589.0,bed,2015-03-19 14:03:17.406263,rodeo_normal,1426773950.0,0,1.0,main_w2_handler0,2239819,8988247,False,,3241301.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18884237,32.0,,21478906,1426773806.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:05:52.802227,53715.0,986372763,vcf,144.0
14589.0,bed,2015-03-19 14:03:21.137264,rodeo_normal,1426774248.0,0,1.0,main_w2_handler0,2239819,8988252,False,,3241384.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18885309,32.0,,21478906,1426774101.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:10:53.593257,53715.0,983639218,vcf,147.0
14589.0,bed,2015-03-19 14:03:22.745812,rodeo_normal,1426774349.0,0,1.0,main_w2_handler0,2239819,8988254,False,,3241410.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18885896,32.0,,21478906,1426774228.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:12:34.542216,53715.0,978509744,vcf,121.0
14589.0,bed,2015-03-19 14:03:24.985061,rodeo_normal,1426774218.0,0,1.0,main_w1_handler1,2239819,8988260,False,,3241382.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18886545,32.0,,21478906,1426774098.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:10:19.972151,53715.0,946971536,vcf,120.0
14589.0,bed,2015-03-27 12:18:39.557008,rodeo_normal,1427458740.0,0,1.0,main_w2_handler0,2188448,9059010,False,,3344270.roundup,slurm,,132112168.0,corral-repl,,,0,18518526.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18339757,32.0,,20747343,1427458735.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-27 12:19:05.788854,58935.0,7238880,vcf,5.0
14589.0,bed,2015-03-27 12:18:37.301343,rodeo_normal,1427458762.0,0,1.0,main_w1_handler0,2188448,9059006,False,,3344277.roundup,slurm,,132112168.0,corral-repl,,,0,18518526.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18339755,32.0,,20747343,1427458757.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-27 12:19:30.252866,58935.0,6952707,vcf,5.0
14589.0,bed,2015-03-27 12:18:40.326941,rodeo_normal,1427458768.0,0,1.0,main_w2_handler1,2188448,9059012,False,,3344281.roundup,slurm,,132112168.0,corral-repl,,,0,18518526.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18339758,32.0,,20747343,1427458763.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-27 12:19:33.206076,58935.0,7256274,vcf,5.0
14589.0,bed,2015-03-27 12:18:36.083315,rodeo_normal,1427458744.0,0,1.0,main_w2_handler1,2188448,9059004,False,,3344273.roundup,slurm,,132112168.0,corral-repl,,,0,18518526.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18339754,32.0,,20747343,1427458738.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-27 12:19:09.358270,58935.0,7358347,vcf,6.0
14589.0,bed,2015-03-27 12:18:38.701527,rodeo_normal,1427458742.0,0,1.0,main_w2_handler1,2188448,9059008,False,,3344274.roundup,slurm,,132112168.0,corral-repl,,,0,18518526.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18339756,32.0,,20747343,1427458738.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-27 12:19:10.611426,58935.0,7417180,vcf,4.0
14589.0,bed,2015-03-27 11:52:38.346133,rodeo_normal,1427457172.0,0,1.0,main_w1_handler0,2188448,9058824,False,,3344126.roundup,slurm,,132112168.0,corral-repl,,,0,18518526.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18339752,32.0,,20747343,1427457169.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-27 11:52:56.048441,58935.0,7297940,vcf,3.0
14589.0,bed,2015-03-27 12:18:44.677793,rodeo_normal,1427458757.0,0,1.0,main_w1_handler1,2188448,9059018,False,,3344275.roundup,slurm,,132112168.0,corral-repl,,,0,18518526.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19025265,32.0,,20747343,1427458753.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-27 12:19:21.179287,58935.0,7428754,vcf,4.0
14589.0,bed,2015-03-27 12:18:41.605460,rodeo_normal,1427458771.0,0,1.0,main_w1_handler0,2188448,9059013,False,,3344283.roundup,slurm,,132112168.0,corral-repl,,,0,18518526.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18339759,32.0,,20747343,1427458768.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-27 12:19:42.811848,58935.0,7188917,vcf,3.0
14589.0,bed,2015-03-27 12:18:35.032391,rodeo_normal,1427458733.0,0,1.0,main_w2_handler0,2188448,9059003,False,,3344265.roundup,slurm,,132112168.0,corral-repl,,,0,18518526.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18339753,32.0,,20747343,1427458728.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-27 12:18:58.804004,58935.0,7437364,vcf,5.0
14589.0,bed,2015-03-27 12:18:42.586212,rodeo_normal,1427458764.0,0,1.0,main_w2_handler0,2188448,9059015,False,,3344279.roundup,slurm,,132112168.0,corral-repl,,,0,18518526.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18339760,32.0,,20747343,1427458760.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-27 12:19:29.529583,58935.0,7471631,vcf,4.0
14589.0,bed,2015-03-27 12:18:43.505220,rodeo_normal,1427458739.0,0,1.0,main_w1_handler1,2188448,9059017,False,,3344269.roundup,slurm,,132112168.0,corral-repl,,,0,18518526.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18339761,32.0,,20747343,1427458735.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-27 12:19:03.030868,58935.0,7455499,vcf,4.0
4454.0,bed,2015-03-31 07:06:27.394327,rodeo_normal,1427785606.0,0,1.0,main_w2_handler0,2254960,9098611,False,,3384925.roundup,slurm,,132112168.0,corral-repl,,,0,19079646.0,bed,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",19079524,32.0,,22131908,1427785603.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-31 07:06:49.120831,22737.0,30226,vcf,3.0
4454.0,bed,2015-03-31 07:06:27.822435,rodeo_normal,1427785600.0,0,1.0,main_w2_handler1,2254960,9098612,False,,3384924.roundup,slurm,,132112168.0,corral-repl,,,0,19079646.0,bed,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",19079525,32.0,,22131908,1427785598.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-31 07:06:43.851338,22737.0,15264,vcf,2.0
48345442.0,bed,2015-03-31 14:08:21.441802,rodeo_normal,1427810926.0,0,1.0,main_w1_handler0,2205129,9101829,False,,3387942.roundup,slurm,,132112168.0,corral-repl,,,0,18692744.0,bed,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",19084506,32.0,,21480976,1427810915.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-31 14:08:49.632053,16545.0,1355571,vcf,11.0
48196919.0,bed,2015-04-01 08:26:22.778594,rodeo_normal,1427876835.0,0,1.0,main_w2_handler0,2205129,9111434,False,,3396681.roundup,slurm,,132112168.0,corral-repl,,,0,19099759.0,bed,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",19084506,32.0,,22174058,1427876829.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 08:27:18.033538,16545.0,1355571,vcf,6.0
48196919.0,bed,2015-04-01 08:29:23.176242,rodeo_normal,1427876983.0,0,1.0,main_w1_handler0,2205129,9111460,False,,3396703.roundup,slurm,,132112168.0,corral-repl,,,0,19099759.0,bed,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",18692769,32.0,,22174058,1427876978.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 08:29:46.937859,16545.0,2892626,vcf,5.0
204084.0,bed,2015-05-05 20:19:57.107624,slurm_normal,1430857560.0,0,1.0,main_w2_handler1,2270418,9403472,False,,3734177.roundup,slurm,,132112168.0,corral-repl,,,0,19592235.0,bed,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",19299141,32.0,,21439489,1430857222.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-05-05 20:26:04.737175,34059.0,2146782497,vcf,338.0
14589.0,bed,2015-04-01 16:22:06.025246,rodeo_normal,1427905473.0,0,1.0,main_w2_handler0,2228704,9115916,False,,3401742.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19050458,32.0,,20747343,1427905465.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:24:34.613736,58935.0,860046,vcf,8.0
219072.0,bed,2015-05-05 19:02:01.832004,slurm_normal,1430852738.0,0,1.0,main_w2_handler1,2270418,9402827,False,,3733610.roundup,slurm,,132112168.0,corral-repl,,,0,19289529.0,bed,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",19299141,32.0,,21439489,1430852542.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-05-05 19:05:44.435182,34059.0,2146782497,vcf,196.0
14589.0,bed,2015-04-01 16:21:30.638806,rodeo_normal,1427905355.0,0,1.0,main_w1_handler0,2228704,9115882,False,,3401717.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19049913,32.0,,20747343,1427905351.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:22:36.350155,58935.0,1031319,vcf,4.0
14589.0,bed,2015-04-01 16:20:54.713764,rodeo_normal,1427905370.0,0,1.0,main_w2_handler1,2228704,9115854,False,,3401724.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19046335,32.0,,20747343,1427905365.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:22:55.477149,58935.0,831160,vcf,5.0
14589.0,bed,2015-04-01 16:20:59.856362,rodeo_normal,1427905387.0,0,1.0,main_w2_handler1,2228704,9115860,False,,3401727.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19049791,32.0,,20747343,1427905384.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:23:14.070336,58935.0,620764,vcf,3.0
14589.0,bed,2015-04-01 16:20:50.192781,rodeo_normal,1427905277.0,0,1.0,main_w1_handler1,2228704,9115851,False,,3401695.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19046332,32.0,,20747343,1427905274.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:21:25.014309,58935.0,752717,vcf,3.0
14589.0,bed,2015-04-01 16:20:47.624095,rodeo_normal,1427905358.0,0,1.0,main_w2_handler1,2228704,9115850,False,,3401715.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19046331,32.0,,20747343,1427905353.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:22:42.889215,58935.0,375510,vcf,5.0
14589.0,bed,2015-04-01 16:21:03.961706,rodeo_normal,1427905473.0,0,1.0,main_w2_handler1,2228704,9115863,False,,3401740.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19049794,32.0,,20747343,1427905466.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:24:35.975236,58935.0,685637,vcf,7.0
14589.0,bed,2015-04-01 16:21:20.337339,rodeo_normal,1427905547.0,0,1.0,main_w1_handler1,2228704,9115876,False,,3401751.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19049877,32.0,,20747343,1427905544.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:25:51.629379,58935.0,801890,vcf,3.0
14589.0,bed,2015-04-01 16:21:38.544397,rodeo_normal,1427905339.0,0,1.0,main_w2_handler0,2228704,9115889,False,,3401711.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19050406,32.0,,20747343,1427905332.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:22:24.613106,58935.0,1029699,vcf,7.0
14589.0,bed,2015-04-01 16:20:58.638185,rodeo_normal,1427905320.0,0,1.0,main_w2_handler0,2228704,9115859,False,,3401706.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19049790,32.0,,20747343,1427905314.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:22:04.042642,58935.0,817362,vcf,6.0
14589.0,bed,2015-04-01 16:21:11.992637,rodeo_normal,1427905461.0,0,1.0,main_w1_handler1,2228704,9115868,False,,3401739.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19049797,32.0,,20747343,1427905457.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:24:24.860051,58935.0,806194,vcf,4.0
14589.0,bed,2015-04-01 16:20:41.970716,rodeo_normal,1427905265.0,0,1.0,main_w2_handler0,2228704,9115841,False,,3401689.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19046327,32.0,,20747343,1427905258.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:21:10.719806,58935.0,762541,vcf,7.0
14589.0,bed,2015-04-01 16:21:50.586978,rodeo_normal,1427905421.0,0,1.0,main_w2_handler0,2228704,9115900,False,,3401733.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19050424,32.0,,20747343,1427905417.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:23:44.900299,58935.0,738666,vcf,4.0
14589.0,bed,2015-04-01 16:20:52.984277,rodeo_normal,1427905335.0,0,1.0,main_w1_handler1,2228704,9115852,False,,3401709.roundup,slurm,,132112168.0,corral-repl,,,0,19106434.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19046333,32.0,,20747343,1427905328.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-04-01 16:22:17.334656,58935.0,593780,vcf,7.0
