bigwigFile1,bigwigFile1_filetype,bigwigFile2,bigwigFile2_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName2,blackListFileName2_filetype,blackListFileName_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.binSize,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.plotTitle,parameters.advancedOpt.scaleFactor1,parameters.advancedOpt.scaleFactor2,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.bigwigFile1.values,parameters.bigwigFile2.values,parameters.chromInfo,parameters.comparison.__current_case__,parameters.comparison.comparison_select,parameters.comparison.pseudocount,parameters.dbkey,parameters.outFileFormat,parameters.region,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
214471745,bigwig,182240449,bigwig,,,,,,,,,2017-04-08 18:48:41.126552,slurm_multi,1491681745.0,0,,6.0,main_w4_handler2,3064466,15531012,False,,9657655,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29134027}]","[{'src': 'hda', 'id': 29134006}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,36822972.0,1491680888.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-08 20:02:26.308631,93861,857.0
170870334,bigwig,165332711,bigwig,,,,,,,,,2017-04-08 21:35:30.947417,slurm_multi,1491692317.0,0,,6.0,main_w4_handler2,3065070,15531603,False,,9658263,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29135319}]","[{'src': 'hda', 'id': 29135320}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,36822972.0,1491691496.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-08 22:59:34.098533,93861,821.0
237566298,bigwig,215459027,bigwig,,,,,,,,,2017-04-08 21:34:43.070542,slurm_multi,1491690149.0,0,,6.0,main_w4_handler2,3065070,15531600,False,,9658071,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29135322}]","[{'src': 'hda', 'id': 29135321}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,36822972.0,1491689286.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-08 22:24:16.927835,93861,863.0
237566298,bigwig,215459027,bigwig,,,,,,,,,2017-04-08 22:32:27.906020,slurm_multi,1491692952.0,0,,6.0,main_w4_handler2,3065070,15531934,False,,9658331,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29135322}]","[{'src': 'hda', 'id': 29135321}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,36822972.0,1491692629.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-08 23:10:25.278599,93861,323.0
214471745,bigwig,182240449,bigwig,,,,,,,,,2017-04-08 21:35:09.622821,slurm_multi,1491691262.0,0,,6.0,main_w4_handler2,3065070,15531601,False,,9658195,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29135324}]","[{'src': 'hda', 'id': 29135323}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,36822972.0,1491690373.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-08 22:42:15.346398,93861,889.0
214471745,bigwig,170870334,bigwig,,,,,,,,,2017-04-09 00:16:20.111377,slurm_multi,1491699774.0,0,,6.0,main_w3_handler2,3065070,15532277,False,,9658562,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29135324}]","[{'src': 'hda', 'id': 29135319}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,36822972.0,1491699446.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-09 01:03:01.484282,93861,328.0
119583188,bigwig,121319537,bigwig,,,,,,,,,2017-04-09 00:16:44.556449,slurm_multi,1491701800.0,0,,6.0,main_w4_handler2,3065070,15532278,False,,9658619,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29136654}]","[{'src': 'hda', 'id': 29136655}]","""/galaxy-repl/localdata/chrom/hg19.len""",3,add,,"""hg19""","""bigwig""","""""",32.0,,36822972.0,1491701471.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-09 01:37:26.340506,93861,329.0
237566298,bigwig,170870334,bigwig,,,,,,,,,2017-04-09 00:16:00.405280,slurm_multi,1491698598.0,0,,6.0,main_w4_handler2,3065070,15532276,False,,9658528,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29135322}]","[{'src': 'hda', 'id': 29135319}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,36822972.0,1491698268.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-09 00:43:54.402283,93861,330.0
181737748,bigwig,195335691,bigwig,,,,,,,,,2017-06-05 15:52:32.548194,slurm_multi,1496678680.0,0,,6.0,main_w4_handler2,3114486,16017170,False,,10109566,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29706238}]","[{'src': 'hda', 'id': 29705088}]","""/galaxy-repl/localdata/chrom/hg19.len""",7,reciprocal_ratio,1.0,"""hg19""","""bedgraph""","""""",32.0,,38016435.0,1496678131.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-06-05 16:04:41.539133,106067,549.0
12070048,bigwig,43862719,bigwig,,,,,,,,,2017-04-12 09:30:58.198954,slurm_multi,1491993290.0,0,,6.0,main_w3_handler2,605821,15563830,False,,9687729,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29005575}]","[{'src': 'hda', 'id': 28587475}]","""/galaxy-repl/localdata/chrom/mm9.len""",0,log2,1.0,"""mm9""","""bigwig""","""""",32.0,,36327803.0,1491992624.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-12 10:34:52.388222,12956,666.0
737879730,bigwig,766429316,bigwig,,,,,,,,,2017-06-06 14:23:58.326257,slurm_multi,1496760465.0,0,,6.0,main_w3_handler2,2185018,16027441,False,,10118638,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29875937}]","[{'src': 'hda', 'id': 29875941}]","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",0,log2,1.0,"""Homo_sapiens_nuHg19_mtrCRS""","""bigwig""","""""",32.0,,38404421.0,1496759323.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-06-06 14:47:47.085241,58792,1142.0
761577789,bigwig,748172695,bigwig,,,,,,,,,2017-06-06 14:24:23.144833,slurm_multi,1496761756.0,0,,6.0,main_w3_handler2,2185018,16027445,False,,10118953,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29875945}]","[{'src': 'hda', 'id': 29875947}]","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",0,log2,1.0,"""Homo_sapiens_nuHg19_mtrCRS""","""bigwig""","""""",32.0,,38404421.0,1496760594.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-06-06 15:09:17.512883,58792,1162.0
23455984,bigwig,29803970,bigwig,,,,,,,,,2017-04-15 01:02:50.058843,slurm_multi,1492221086.0,0,,6.0,main_w3_handler2,3053193,15591150,False,,9712889,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29225061}]","[{'src': 'hda', 'id': 29225060}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bigwig""","""""",32.0,,37226441.0,1492220426.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-15 01:51:27.637615,93861,660.0
25045826,bigwig,18150624,bigwig,,,,,,,,,2017-04-15 01:05:36.500130,slurm_multi,1492223264.0,0,,6.0,main_w4_handler2,3053193,15591157,False,,9713044,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29225063}]","[{'src': 'hda', 'id': 29225062}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bigwig""","""""",32.0,,37226441.0,1492222655.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-15 02:27:46.205562,93861,609.0
25045826,bigwig,18150624,bigwig,,,,,,,,,2017-04-15 15:46:11.346829,slurm_multi,1492275002.0,0,,6.0,main_w3_handler2,3053193,15594610,False,,9715995,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29225063}]","[{'src': 'hda', 'id': 29225062}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,37226441.0,1492274435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-15 16:50:03.161779,93861,567.0
23455984,bigwig,29803970,bigwig,,,,,,,,,2017-04-15 15:45:55.298066,slurm_multi,1492274002.0,0,,6.0,main_w4_handler2,3053193,15594608,False,,9715946,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29225061}]","[{'src': 'hda', 'id': 29225060}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,37226441.0,1492273376.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-15 16:33:23.979600,93861,626.0
25045826,bigwig,18150624,bigwig,,,,,,,,,2017-04-15 17:12:10.875728,slurm_multi,1492279012.0,0,,6.0,main_w4_handler2,3053193,15594894,False,,9716204,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29225063}]","[{'src': 'hda', 'id': 29225062}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,37226441.0,1492278724.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-15 17:56:53.868252,93861,288.0
1158517085,bigwig,973278986,bigwig,,,,,,,,,2017-04-16 13:58:58.075204,slurm_multi,1492357613.0,0,,6.0,main_w4_handler2,3072762,15600467,False,,9721320,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29236809}]","[{'src': 'hda', 'id': 29236811}]","""/galaxy-repl/localdata/chrom/mm10.len""",0,log2,1.0,"""mm10""","""bigwig""","""""",32.0,,37346891.0,1492356640.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-16 15:46:55.336847,52910,973.0
23455984,bigwig,29803970,bigwig,,,,,,,,,2017-04-16 18:31:39.290202,slurm_multi,1492370409.0,0,,6.0,main_w3_handler2,3053193,15601290,False,,9721904,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29225061}]","[{'src': 'hda', 'id': 29225060}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,37226441.0,1492370139.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-16 19:20:11.134197,93861,270.0
72876553,bigwig,86768979,bigwig,,,,,,,,,2017-04-16 18:32:38.173880,slurm_multi,1492369892.0,0,,6.0,main_w4_handler2,3053193,15601292,False,,9721861,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29225058}]","[{'src': 'hda', 'id': 29225053}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,37226441.0,1492369571.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-16 19:11:34.168059,93861,321.0
25045826,bigwig,18150624,bigwig,,,,,,,,,2017-04-16 18:32:02.326506,slurm_multi,1492372311.0,0,,6.0,main_w3_handler2,3053193,15601291,False,,9721986,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29225063}]","[{'src': 'hda', 'id': 29225062}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,37226441.0,1492372050.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-16 19:52:03.548910,93861,261.0
92554072,bigwig,142977952,bigwig,,,,,,,,,2017-04-17 15:57:27.343772,slurm_multi,1492448456.0,0,,6.0,main_w4_handler2,3010350,15606284,False,,9726340,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29248422}]","[{'src': 'hda', 'id': 29248424}]","""/galaxy-repl/localdata/chrom/mm10.len""",0,log2,1.0,"""mm10""","""bigwig""","""""",32.0,,36260211.0,1492447675.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-17 17:00:57.558062,100453,781.0
92554072,bigwig,142977952,bigwig,,,,,,,,,2017-04-17 15:57:45.843302,slurm_multi,1492450333.0,0,,6.0,main_w4_handler2,3010350,15606290,False,,9726638,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29248422}]","[{'src': 'hda', 'id': 29248424}]","""/galaxy-repl/localdata/chrom/mm10.len""",2,subtract,,"""mm10""","""bigwig""","""""",32.0,,36260211.0,1492449546.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-17 17:32:15.725826,100453,787.0
115667500,bigwig,160977087,bigwig,,,,,,,,,2017-06-06 19:35:35.517192,slurm_multi,1496779242.0,0,,6.0,main_w3_handler2,3116075,16030697,False,,10121878,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29917583}]","[{'src': 'hda', 'id': 29917584}]","""/galaxy-repl/localdata/chrom/mm9.len""",5,first,,"""mm9""","""bigwig""","""""",32.0,,37514565.0,1496778524.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-06-06 20:00:44.284959,47842,718.0
535064,bigwig,535574,bigwig,,,,,,,,,2017-06-06 22:07:01.540545,slurm_multi,1496787045.0,0,,6.0,main_w4_handler2,3142726,16032336,False,,10123284,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29919722}]","[{'src': 'hda', 'id': 29919693}]","""/galaxy-repl/localdata/chrom/sacCer3.len""",0,log2,1.0,"""sacCer3""","""bigwig""","""""",32.0,,37660359.0,1496787033.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-06-06 22:10:48.030361,52862,12.0
535660,bigwig,534428,bigwig,,,,,,,,,2017-06-06 22:05:47.011659,slurm_multi,1496787004.0,0,,6.0,main_w3_handler2,3142726,16032319,False,,10123276,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29919708}]","[{'src': 'hda', 'id': 29919682}]","""/galaxy-repl/localdata/chrom/sacCer3.len""",0,log2,1.0,"""sacCer3""","""bigwig""","""""",32.0,,37660359.0,1496786994.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-06-06 22:10:06.203954,52862,10.0
535660,bigwig,535574,bigwig,,,,,,,,,2017-06-06 22:06:09.704705,slurm_multi,1496787177.0,0,,6.0,main_w3_handler2,3142726,16032324,False,,10123308,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29919708}]","[{'src': 'hda', 'id': 29919693}]","""/galaxy-repl/localdata/chrom/sacCer3.len""",0,log2,1.0,"""sacCer3""","""bigwig""","""""",32.0,,37660359.0,1496787166.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-06-06 22:12:59.143301,52862,11.0
535064,bigwig,534428,bigwig,,,,,,,,,2017-06-06 22:07:15.623337,slurm_multi,1496787346.0,0,,6.0,main_w3_handler2,3142726,16032338,False,,10123330,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29919722}]","[{'src': 'hda', 'id': 29919682}]","""/galaxy-repl/localdata/chrom/sacCer3.len""",0,log2,1.0,"""sacCer3""","""bigwig""","""""",32.0,,37660359.0,1496787336.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-06-06 22:15:53.480821,52862,10.0
